245.325119	1.707934	0.404763	
246.912033	1.711537	0.408428	
248.498978	1.715555	0.411563	
250.085938	1.720915	0.414271	
251.672928	1.728181	0.416558	
253.259933	1.736251	0.417929	
254.846970	1.743548	0.417762	
256.434021	1.748780	0.415501	
258.021118	1.752706	0.410916	
259.608215	1.757423	0.404010	
261.195374	1.764894	0.394831	
262.782532	1.774968	0.384045	
264.369720	1.783532	0.373378	
265.956940	1.786282	0.364448	
267.544159	1.779680	0.358627	
269.131409	1.765675	0.356559	
270.718689	1.749321	0.358534	
272.305969	1.735542	0.364823	
273.893311	1.728258	0.374837	
275.480652	1.727834	0.384960	
277.067993	1.733641	0.391087	
278.655365	1.745005	0.389523	
280.242767	1.760451	0.379032	
281.830200	1.776303	0.363807	
283.417633	1.788729	0.348402	
285.005066	1.794066	0.336847	
286.592560	1.790408	0.331594	
288.180023	1.780667	0.331435	
289.767517	1.768487	0.334657	
291.355042	1.757357	0.339629	
292.942596	1.750105	0.344909	
294.530151	1.746532	0.350092	
296.117706	1.745394	0.355162	
297.705292	1.745513	0.360122	
299.292908	1.745801	0.364981	
300.880493	1.745932	0.369588	
302.468109	1.746391	0.373605	
304.055756	1.747675	0.376705	
305.643402	1.750244	0.378578	
307.231049	1.754425	0.378992	
308.818726	1.759766	0.378105	
310.406433	1.765505	0.376236	
311.994110	1.770933	0.373680	
313.581818	1.775390	0.370708	
315.169525	1.778357	0.367531	
316.757263	1.779864	0.364154	
318.344971	1.780105	0.360522	
319.932709	1.779263	0.356585	
321.520447	1.777507	0.352295	
323.108215	1.775070	0.347710	
324.695984	1.772722	0.343703	
326.283752	1.771457	0.341506	
327.871521	1.772210	0.342283	
329.459320	1.775867	0.347112	
331.047119	1.783251	0.356925	
332.634918	1.794449	0.371029	
334.222717	1.808513	0.386626	
335.810486	1.824419	0.400999	
337.398315	1.841170	0.411709	
338.986145	1.857837	0.416569	
340.573944	1.873630	0.413800	
342.161774	1.888169	0.404303	
343.749573	1.901313	0.390576	
345.337402	1.912895	0.374940	
346.925232	1.922691	0.359535	
348.513031	1.930424	0.346345	
350.100891	1.935844	0.337085	
351.688690	1.939607	0.331409	
353.276520	1.943023	0.327579	
354.864349	1.947365	0.323937	
356.452179	1.953841	0.318935	
358.039978	1.963600	0.311145	
359.627808	1.977727	0.299288	
361.215637	1.996464	0.283014	
362.803436	2.018446	0.263564	
364.391266	2.042184	0.242242	
365.979065	2.066269	0.220191	
367.566864	2.089372	0.198395	
369.154663	2.110239	0.177693	
370.742493	2.127715	0.158787	
372.330261	2.141374	0.141896	
373.918030	2.151525	0.126799	
375.505798	2.158489	0.113292	
377.093597	2.162563	0.101202	
378.681335	2.164026	0.090381	
380.269104	2.163139	0.080699	
381.856873	2.160146	0.072043	
383.444611	2.155281	0.064314	
385.032349	2.148762	0.057423	
386.620056	2.140801	0.051290	
388.207794	2.131600	0.045844	
389.795471	2.121352	0.041019	
391.383179	2.110247	0.036754	
392.970886	2.098465	0.032992	
394.558533	2.086184	0.029683	
396.146179	2.073577	0.026775	
397.733856	2.060811	0.024222	
399.321472	2.048053	0.021979	
400.909119	2.035463	0.020004	
402.496735	2.023199	0.018255	
404.084320	2.011416	0.016691	
405.671906	2.000264	0.015275	
407.259460	1.989889	0.013968	
408.847015	1.980359	0.012747	
410.434570	1.971635	0.011608	
412.022064	1.963670	0.010549	
413.609619	1.956417	0.009566	
